Account,Report_Time,Resource_Type,Resource,Current_State,Monitor_DisplayName,Title,Message,Icm_OwningTeamId,Forest,WorkloadName,TeamName,Troubleshooting_Text,Additional_Info,Problem,Incident_ID
Monitor: S360KPISLAMonitorV2 ( view monitor ),2025-07-21 15:30:26Z ,Resource: _yifen_[SFI-TI3.1.1] Soft Delete unused apps_Security_jihyan_ - -public_Unknown_CENTRAL ACTION [SFI-TI3.1.1]- Soft Delete unused apps ( open resource in health page ),_yifen_[SFI-TI3.1.1],,Hybrid,[S360KPISLAMonitorV2] has detected a S360 item near SLA expiration for : [SFI-TI3.1.1] Soft Delete unused apps,Resource is unhealthy. Expression: S360KPISLA Expression = 1. Alert Condition: S360KPISLA AlertCondition 1 = Violated. Lookback duration: 12:00:00.,EXCHANGE\ECCLSPassiveMonitorTraining,,Exchange,ECCLSPassiveMonitorTraining,How to read this page:,,[S360KPISLAMonitorV2] has detected a S360 item near SLA expiration for : [SFI-TI3.1.1] Soft Delete unused apps,659614427
Monitor: S360KPISLAMonitorV2 ( view monitor ),2025-07-18 17:55:06Z ,Resource: _kakhidr_[SFI-PS4.4] M365 Security Review_Security_beckyha_ |9-30-2024 8-18-46 pm|security review_Unknown_Please complete your security checkup review. ( open resource in health page ),_kakhidr_[SFI-PS4.4],,Hybrid,[S360KPISLAMonitorV2] has detected a S360 item near SLA expiration for : [SFI-PS4.4] M365 Security Review,Resource is unhealthy. Expression: S360KPISLA Expression = 1. Alert Condition: S360KPISLA AlertCondition 1 = Violated. Lookback duration: 12:00:00.,EXCHANGE\ECCLSPassiveMonitorTraining,,Exchange,ECCLSPassiveMonitorTraining,How to read this page:,,[S360KPISLAMonitorV2] has detected a S360 item near SLA expiration for : [SFI-PS4.4] M365 Security Review,658219164
,,,,,,,,,,,,Troubleshooting:,https://dev.azure.com/O365Exchange/,,658170775
Monitor: S360KPISLAMonitorV2 ( view monitor ),2025-07-18 15:42:26Z ,Resource: _jichen3_[SFI-TI3.1.1] Soft Delete unused apps_Security_jihyan_ - -public_Unknown_CENTRAL ACTION [SFI-TI3.1.1]- Soft Delete unused apps ( open resource in health page ),_jichen3_[SFI-TI3.1.1],,Hybrid,[S360KPISLAMonitorV2] has detected a S360 item near SLA expiration for : [SFI-TI3.1.1] Soft Delete unused apps,Resource is unhealthy. Expression: S360KPISLA Expression = 1. Alert Condition: S360KPISLA AlertCondition 1 = Violated. Lookback duration: 12:00:00.,EXCHANGE\ECCLSPassiveMonitorTraining,,Exchange,ECCLSPassiveMonitorTraining,How to read this page:,,[S360KPISLAMonitorV2] has detected a S360 item near SLA expiration for : [SFI-TI3.1.1] Soft Delete unused apps,658173276
,,,,,,,,,,,,Troubleshooting:,https://aka.ms/OwaEsc: | https://dev.azure.com/O365Exchange/ | https://outlookweb.visualstudio.com/Outlook%20Web/_workitems/edit/387136 | https://outlookweb.visualstudio.com/Outlook%20Web/_workitems/edit/387136,,674397793
Monitor: LLMAPIFailedEventsMonitor_PROD ( view monitor ),2025-09-10 11:29:29Z ,Resource: False_408_PROD ( open resource in health page ),False_408_PROD,,Hybrid,[LLMAPIFailedEventsMonitor]  A Spike in HttpStatus : 408 API Events has been detected in Role : PROD,Resource is unhealthy. Expression: expression_Prod = 718. Alert Condition: alertCondition_Prod = Violated. Lookback duration: 03:00:00.,EXCHANGE\SignalsOnboarding07,,Exchange,SignalsOnboarding07,How to read this page:,https://eng.ms/docs/experiences-devices/m365-core/o365-enterprise-cloud/o365-ecc-live-site/ecc-live-site/livesite/tsgs/llmapi/llmapifailuremonitor | https://poly-oai-prod-manual-swedencentral.openai.azure.com/openai/deployments/SwedenCentral-Gpt-41-shortco-mi300-003 | https://poly-oai-prod-manual-swedencentral.openai.azure.com/openai/deployments/SwedenCentral-Gpt-41-shortco-mi300-002 | https://poly-oai-prod-manual-swedencentral.openai.azure.com/openai/deployments/SwedenCentral-Gpt-41-shortco-mi300-003 | https://poly-oai-prod-manual-swedencentral.openai.azure.com/openai/deployments/SwedenCentral-Gpt-41-shortco-mi300-002,[LLMAPIFailedEventsMonitor]  A Spike in HttpStatus : 408 API Events has been detected in Role : PROD,682728343
Monitor: MRSFailuresV3 ( view monitor ),2025-09-11 14:35:51Z ,"Resource: CommunicationErrorTransientException-MessageSecurityException_None_SGPP274_False_True_NULL_CM, S500, OED, ACE, MicrosoftCritical_NULL_ _Onboarding ( open resource in health page )","CommunicationErrorTransientException-MessageSecurityException_None_SGPP274_False_True_NULL_CM,",,Hybrid,[MRSFailureMonitor] A migration batch for in SGPP274 has been impacted by a number of MRS exceptions,Resource is unhealthy. Expression: MRSFailedOrStuck = 0. Expression: MRSFailedOrStuckTooMany = 0. Expression: MRSFailuresOnly = 225. Expression: MRSStuckNoFailure = 0. Alert Condition: MRSFailedOrStuck = NoViolation. Alert Condition: MRSFailedOrStuckTooMany = NoViolation. Alert Condition: MRSStuckNoFailure = NoViolation. Alert Condition: MRSFailuresOnly = Violated. Lookback duration: 02:00:00.,EXCHANGE\ECCLSPassiveMonitorTraining,,Exchange,ECCLSPassiveMonitorTraining,How to read this page: How to read this page:,https://eng.ms/docs/experiences-devices/m365-core/o365-enterprise-cloud/o365-ecc-live-site/ecc-live-site/livesite/tsgs/migration/migrationfailuremonitor | https://eng.ms/docs/experiences-devices/m365-core/o365-enterprise-cloud/o365-ecc-live-site/ecc-live-site/livesite/tsgs/migration/migrationfailuremonitor,[MRSFailureMonitor] A migration batch for in SGPP274 has been impacted by a number of MRS exceptions,683280534
Monitor: MRSFailuresV3 ( view monitor ),2025-09-09 01:24:57Z ,"Resource: TooManyTransientFailureRetriesPermanentException_None_NAMPRD18_False_True_False_CM, OED, ACE_Failed_ _Onboarding ( open resource in health page )","TooManyTransientFailureRetriesPermanentException_None_NAMPRD18_False_True_False_CM,",,Hybrid,[MRSFailureMonitor] A migration batch for in NAMPRD18 has been impacted by a number of MRS exceptions,Resource is unhealthy. Expression: MRSFailedOrStuck = 0. Expression: MRSFailedOrStuckTooMany = 105. Expression: MRSFailuresOnly = 109. Expression: MRSStuckNoFailure = 0. Alert Condition: MRSFailedOrStuck = NoViolation. Alert Condition: MRSFailedOrStuckTooMany = Violated. Alert Condition: MRSStuckNoFailure = NoViolation. Alert Condition: MRSFailuresOnly = Violated. Lookback duration: 02:00:00.,EXCHANGE\ECCLSPassiveMonitorTraining,,Exchange,ECCLSPassiveMonitorTraining,How to read this page: How to read this page:,https://ecs.skype.com/Substrate/EXO_MRS/rollouts/1642080 | https://ecs.skype.com/Substrate/EXO_MRS/rollouts/1642080 | https://ecs.skype.com/Substrate/EXO_MRS/rollouts/1642080 | https://ecs.skype.com/Substrate/EXO_MRS/rollouts/1642080 | https://ecs.skype.com/Substrate/EXO_MRS/rollouts/1642080,[MRSFailureMonitor] A migration batch for in NAMPRD18 has been impacted by a number of MRS exceptions,682041954
,,,,,,,,,,,,Troubleshooting: Troubleshooting:,https://aka.ms/CalEsc: | https://dev.azure.com/O365Exchange/ | https://aka.ms/CalEsc: | https://dev.azure.com/O365Exchange/,,683343234
Monitor: S360KPISLAMonitorV3 ( view monitor ),2025-09-10 15:25:28Z ,Resource: _jmayer_2.02 Svc Account Expiration_Livesite_jmayer_redmondexodcpeaccountjmayer_NULL_Extend account 'Redmond-exodcpe' ( open resource in health page ),_jmayer_2.02,,Hybrid,[S360KPISLAMonitor] has detected a S360 item near SLA expiration for : 2.02 Svc Account Expiration,Resource is unhealthy. Expression: S360KPISLA Expression = 1. Alert Condition: S360KPISLA AlertCondition 1 = Violated. Lookback duration: 12:00:00.,EXCHANGE\ECCLSPassiveMonitorTraining,,Exchange,ECCLSPassiveMonitorTraining,How to read this page:,,[S360KPISLAMonitor] has detected a S360 item near SLA expiration for : 2.02 Svc Account Expiration,682813622
Monitor: MRSFailuresV3 ( view monitor ),2025-10-07 04:49:37Z ,"Resource: UpdateMovedMailboxPermanentException_Target_NAMPRD18_NULL_NULL_True_CM, OED, ACE_Failed_ _Onboarding ( open resource in health page )","UpdateMovedMailboxPermanentException_Target_NAMPRD18_NULL_NULL_True_CM,",,Hybrid,[MRSFailureMonitor] A migration batch for in NAMPRD18 has been impacted by a number of MRS exceptions,Resource is unhealthy. Expression: MRSFailedOrStuck = 23. Expression: MRSFailedOrStuckTooMany = 0. Expression: MRSFailuresOnly = 0. Expression: MRSStuckNoFailure = 0. Alert Condition: MRSFailedOrStuck = Violated. Alert Condition: MRSFailedOrStuckTooMany = NoViolation. Alert Condition: MRSStuckNoFailure = NoViolation. Alert Condition: MRSFailuresOnly = NoViolation. Lookback duration: 02:00:00.,EXCHANGE\ECCLSPassiveMonitorTraining,,Exchange,ECCLSPassiveMonitorTraining,How to read this page: How to read this page:,https://eng.ms/docs/experiences-devices/m365-core/o365-enterprise-cloud/o365-ecc-live-site/ecc-live-site/livesite/tsgs/migration/migrationfailuremonitor | https://eng.ms/docs/experiences-devices/m365-core/o365-enterprise-cloud/o365-ecc-live-site/ecc-live-site/livesite/tsgs/migration/migrationfailuremonitor,[MRSFailureMonitor] A migration batch for in NAMPRD18 has been impacted by a number of MRS exceptions,694856431
,,,,,,,,,,,,Troubleshooting: Troubleshooting:,https://aka.ms/CalEsc: | https://dev.azure.com/O365Exchange/ | https://aka.ms/CalEsc: | https://dev.azure.com/O365Exchange/,,697615586
